"","Mean_trend","Std.dev_trend","Skewness_trend","Kurtosis_trend"
"1",-0.324976125112205,-0.0962962121363784,0.00105164571129314,0.00447246214501172
"2",0.179697457845686,-0.0079095970923281,-0.000226644369007069,0.000267947324539937
"3",-0.563958044581197,-0.0729452222691331,0.00445192126652903,0.00709935458086588
"4",-0.0748754537509553,0.0363282372033117,0.00292069552490065,0.00423680007375342
"5",-0.0376055681773401,-0.0430346575188718,-0.00367048444900718,0.00372907196092399
"6",-0.798269281310162,-0.0988498256364174,-0.000800802006788785,-0.0111523419125802
"7",0.0428314765225362,-0.0322197373189575,0.00212641732771055,0.00393988019722801
"8",-0.1652024832,-0.0139922010135017,0.00258732733807811,-0.00215175760703489
"9",-0.210718007152859,-0.131124774749815,-0.000650704455549902,0.00635102327903023
"10",-0.293267491220513,-0.0223587101635854,0.00467140524183705,0.00475403677953832
